Method 1,Method 2,Mean 1,Mean 2,Delta,W-stat,p-value,Significant
GP-BO,PCV,78.67205000000004,78.67205000000004,0.0,0.0,1.0,No
GP-BO,BatchSelect,78.67205000000004,70.77196666666671,7.900083333333328,0.0,0.5,No
PCV,BatchSelect,78.67205000000004,70.77196666666671,7.900083333333328,0.0,0.5,No
