Method 1,Method 2,Mean 1,Mean 2,Delta,W-stat,p-value,Significant
GP-BO,KernelPrior,77.70820093540658,83.67259102751666,-5.964390092110079,0.0,0.5,No
GP-BO,KernelPrior-Loop,77.70820093540658,83.67259102751666,-5.964390092110079,0.0,0.5,No
GP-BO,BatchSelect-RAG,77.70820093540658,78.35879260725163,-0.6505916718450493,1.0,1.0,No
KernelPrior,KernelPrior-Loop,83.67259102751666,83.67259102751666,0.0,0.0,1.0,No
KernelPrior,BatchSelect-RAG,83.67259102751666,78.35879260725163,5.31379842026503,0.0,0.5,No
KernelPrior-Loop,BatchSelect-RAG,83.67259102751666,78.35879260725163,5.31379842026503,0.0,0.5,No
