Method 1,Method 2,Mean 1,Mean 2,Delta,W-stat,p-value,Significant
GP-BO,PCV,80.06053333333345,75.32998333333339,4.730550000000065,0.0,1.0,No
GP-BO,BatchSelect,80.06053333333345,73.79215000000006,6.268383333333389,0.0,0.5,No
PCV,BatchSelect,75.32998333333339,73.79215000000006,1.5378333333333245,1.0,1.0,No
