Method 1,Method 2,Mean 1,Mean 2,Delta,W-stat,p-value,Significant
GP-BO,PCV,86.22403634427664,82.94794323727918,3.2760931069974646,37.0,0.009435653686523438,Yes
GP-BO,BatchSelect,86.22403634427664,85.75599370475297,0.46804263952367364,104.0,0.9854354858398438,No
PCV,BatchSelect,82.94794323727918,85.75599370475297,-2.808050467473791,38.0,0.01068878173828125,Yes
