Method 1,Method 2,Mean 1,Mean 2,Delta,W-stat,p-value,Significant
GP-BO,PCV,84.55048398065998,84.59806835834965,-0.04758437768967383,94.0,0.7011814117431641,No
GP-BO,BatchSelect,84.55048398065998,83.76549197999697,0.78499200066301,85.0,0.47490501403808594,No
PCV,BatchSelect,84.59806835834965,83.76549197999697,0.8325763783526838,89.0,0.5705966949462891,No
