seed,metodo,iteracion,tau,equiv_pldn,conc_dfnb,temperature,sty,fuente,rechazos,concern_level,grounding_usado
4,bo_puro,7,0.5,3.880891116507304,0.5,50.28519602018699,11142.414378668696,bo_puro,0,,
4,bo_puro,8,0.5000000000000002,5.0,0.5,30.0,12021.522617606646,bo_puro,0,,
4,bo_puro,9,0.8880776896477925,5.0,0.5,30.0,6344.424488524287,bo_puro,0,,
4,bo_puro,10,0.7882219247050593,1.0,0.5,104.97412132137244,6977.490006552088,bo_puro,0,,
4,bo_puro,11,0.5,1.0,0.3976386985039929,102.22255596537148,8923.885783358415,bo_puro,0,,
0,multiagent_norag,0,0.75,1.5,0.35,60.0,5490.670525736456,multiagent_norag,1,low,
0,multiagent_norag,1,1.07,1.72,0.31,30.0,3046.662354701124,multiagent_norag,1,low,
0,multiagent_norag,2,0.5,1.2,0.46,64.0,9398.006837291348,multiagent_norag,0,low,
0,multiagent_norag,3,0.5,1.0,0.5,30.0,6321.850523826306,multiagent_norag,0,low,
0,multiagent_norag,4,0.5,1.0,0.5,73.3,10825.332283397227,multiagent_norag,0,low,
0,multiagent_norag,5,0.5,1.0,0.5,85.4,11101.735845595902,multiagent_norag,0,low,
0,multiagent_norag,6,0.5,1.0,0.5,88.7,11033.465219807571,multiagent_norag,0,low,
0,multiagent_norag,7,2.0,1.0,0.5,86.4,2918.9762138290835,multiagent_norag,0,low,
0,multiagent_norag,8,0.5,1.0,0.5,86.3,10243.374671205242,multiagent_norag,0,low,
0,multiagent_norag,9,0.5,5.0,0.5,78.0,9399.115237956998,multiagent_norag,0,low,
0,multiagent_norag,10,0.5,1.0,0.5,120.0,10704.027468766553,multiagent_norag,0,low,
0,multiagent_norag,11,0.5,1.0,0.5,99.0,10409.853921533337,multiagent_norag,0,low,
1,multiagent_norag,0,0.6,4.5,0.3,80.0,4867.127798019624,multiagent_norag,0,low,
1,multiagent_norag,1,0.5,5.0,0.18,53.0,4016.980955009283,multiagent_norag,0,medium,
1,multiagent_norag,2,1.14,5.0,0.5,86.0,2178.472444132933,multiagent_norag,0,low,
1,multiagent_norag,3,0.5,4.8,0.3,52.8,6815.480420653397,multiagent_norag,0,low,
1,multiagent_norag,4,0.5,5.0,0.31,35.2,6722.2558531533305,multiagent_norag,1,low,
1,multiagent_norag,5,0.5,5.0,0.34,44.9,8097.946625420727,multiagent_norag,0,low,
1,multiagent_norag,6,0.5,5.0,0.41,43.2,8989.961356453374,multiagent_norag,0,low,
1,multiagent_norag,7,0.5,5.0,0.45,40.5,9540.70909056197,multiagent_norag,0,low,
1,multiagent_norag,8,0.5,5.0,0.5,39.2,10495.395997678293,multiagent_norag,0,low,
1,multiagent_norag,9,0.5,3.1,0.5,36.2,11323.17385208571,multiagent_norag,0,low,
1,multiagent_norag,10,0.5,1.0,0.5,30.0,6080.269623063922,multiagent_norag,0,low,
1,multiagent_norag,11,0.5,3.79,0.5,30.0,11353.352489989235,multiagent_norag,0,low,
2,multiagent_norag,0,0.5,3.48,0.42,120.0,5171.109091444495,multiagent_norag,0,low,
2,multiagent_norag,1,0.5,1.0,0.5,120.0,11665.247513763057,multiagent_norag,0,low,
2,multiagent_norag,2,0.5,1.0,0.5,74.7,10099.575340625956,multiagent_norag,0,low,
2,multiagent_norag,3,0.5,1.0,0.5,120.0,11090.629767642304,multiagent_norag,0,low,
2,multiagent_norag,4,0.5,1.0,0.5,120.0,10842.996946597015,multiagent_norag,0,low,
2,multiagent_norag,5,0.5,1.0,0.5,120.0,9609.352914777834,multiagent_norag,1,low,
2,multiagent_norag,6,0.5,1.0,0.5,99.3,10330.674859226781,multiagent_norag,1,low,
2,multiagent_norag,7,0.5,1.0,0.5,30.0,6648.919654138728,multiagent_norag,0,low,
2,multiagent_norag,8,0.5,5.0,0.5,30.0,12075.665230558181,multiagent_norag,0,low,
2,multiagent_norag,9,0.5,5.0,0.5,30.0,11670.124986203144,multiagent_norag,0,low,
2,multiagent_norag,10,0.5,5.0,0.5,30.0,11648.950216245128,multiagent_norag,0,low,
2,multiagent_norag,11,0.5,5.0,0.5,30.0,11153.996971170678,multiagent_norag,0,low,
3,multiagent_norag,0,1.25,1.22,0.26,100.2,2293.690947750515,multiagent_norag,0,low,
3,multiagent_norag,1,1.36,1.23,0.44,65.4,3816.054118587663,multiagent_norag,0,low,
3,multiagent_norag,2,1.18,1.36,0.47,87.3,4526.260036187594,multiagent_norag,0,low,
3,multiagent_norag,3,1.05,1.12,0.5,70.7,4657.461948621234,multiagent_norag,0,low,
3,multiagent_norag,4,1.1,1.0,0.5,106.0,4795.530719541963,multiagent_norag,0,low,
3,multiagent_norag,5,1.23,1.0,0.5,100.5,4770.714387240367,multiagent_norag,0,low,
3,multiagent_norag,6,0.58,1.0,0.35,120.0,7077.4755516915175,multiagent_norag,0,low,
3,multiagent_norag,7,0.5,1.0,0.38,120.0,8225.954017452881,multiagent_norag,0,low,
3,multiagent_norag,8,0.5,1.0,0.44,120.0,9950.101082287798,multiagent_norag,0,low,
