method,seed,iteracion,yield,fuente,rechazos
multiagente_ucb,0,8,73.33027079552,multiagente_ucb,0
multiagente_ucb,0,9,73.06103426494667,multiagente_ucb,0
multiagente_ucb,0,10,50.90568759635664,multiagente_ucb,0
multiagente_ucb,0,11,73.04715513416672,multiagente_ucb,0
multiagente_ucb,0,12,69.30617889663662,multiagente_ucb,0
multiagente_ucb,0,13,78.94475696613341,multiagente_ucb,0
multiagente_ucb,0,14,73.15283456356998,multiagente_ucb,1
multiagente_ucb,0,15,51.34973361834668,multiagente_ucb,0
multiagente_ucb,0,16,58.81191103967335,multiagente_ucb,1
multiagente_ucb,0,17,77.67715575976666,multiagente_ucb,0
multiagente_ucb,0,18,78.12057394925661,multiagente_ucb,0
multiagente_ucb,0,19,84.13881655974342,multiagente_ucb,0
multiagente_ucb,0,20,80.6827651168333,multiagente_ucb,1
multiagente_ucb,0,21,69.63012796795668,multiagente_ucb,0
multiagente_ucb,0,22,74.8894959874233,multiagente_ucb,0
multiagente_ucb,0,23,84.77459464006684,multiagente_ucb,0
multiagente_ucb,0,24,74.64534264547669,multiagente_ucb,1
multiagente_ucb,0,25,63.78600562327001,multiagente_ucb,1
multiagente_ucb,0,26,55.05736256127669,multiagente_ucb,0
multiagente_ucb,0,27,76.11749281476658,multiagente_ucb,0
multiagente_ucb,0,28,75.67514538472656,multiagente_ucb,1
multiagente_ucb,0,29,85.81999412373332,multiagente_ucb,1
batch_llm,0,0,12.050393028033357,batch_llm,0
batch_llm,0,1,44.4698264775233,batch_llm,0
batch_llm,0,2,81.3068329684001,batch_llm,0
batch_llm,0,3,30.695559359439983,batch_llm,1
batch_llm,0,4,42.0146580411967,batch_llm,0
batch_llm,0,5,68.54966459830001,batch_llm,0
batch_llm,0,6,72.52609643236339,batch_llm,0
batch_llm,0,7,68.82385131743993,batch_llm,0
batch_llm,0,8,61.49693153847667,batch_llm,0
batch_llm,0,9,65.47270534356666,batch_llm,0
batch_llm,0,10,31.711905862573325,batch_llm,0
batch_llm,0,11,5.4264597702599975,batch_llm,0
batch_llm,0,12,27.696271286916637,batch_llm,0
batch_llm,0,13,75.79956214076672,batch_llm,0
batch_llm,0,14,70.75341911243001,batch_llm,0
batch_llm,0,15,47.51922581283,batch_llm,0
batch_llm,0,16,80.6872985438667,batch_llm,1
batch_llm,0,17,81.51493202889654,batch_llm,0
batch_llm,0,18,59.22345792270005,batch_llm,0
batch_llm,0,19,63.06524250336994,batch_llm,0
batch_llm,0,20,62.64777709219675,batch_llm,0
batch_llm,0,21,72.52821255118666,batch_llm,0
batch_llm,0,22,81.10034941829997,batch_llm,1
batch_llm,0,23,78.21152808483997,batch_llm,0
batch_llm,0,24,82.6043786660334,batch_llm,1
batch_llm,0,25,82.48348979306671,batch_llm,0
batch_llm,0,26,78.14325383860006,batch_llm,0
batch_llm,0,27,75.92978856676675,batch_llm,0
batch_llm,0,28,64.42667722586665,batch_llm,1
batch_llm,0,29,88.35961498776668,batch_llm,1
batch_llm_ucb,0,0,41.61957012138664,batch_llm_ucb,1
batch_llm_ucb,0,1,44.08292274343667,batch_llm_ucb,0
batch_llm_ucb,0,2,6.051103496543331,batch_llm_ucb,0
batch_llm_ucb,0,3,63.94056874332674,batch_llm_ucb,0
batch_llm_ucb,0,4,79.67202987853338,batch_llm_ucb,0
batch_llm_ucb,0,5,73.53604113006668,batch_llm_ucb,0
batch_llm_ucb,0,6,60.7080563838367,batch_llm_ucb,1
batch_llm_ucb,0,7,7.718816995530004,batch_llm_ucb,0
batch_llm_ucb,0,8,73.25933112200003,batch_llm_ucb,0
batch_llm_ucb,0,9,49.954217476390006,batch_llm_ucb,0
batch_llm_ucb,0,10,83.4376354893,batch_llm_ucb,1
batch_llm_ucb,0,11,32.54105643241668,batch_llm_ucb,0
batch_llm_ucb,0,12,80.8408259758667,batch_llm_ucb,1
batch_llm_ucb,0,13,71.5547499667334,batch_llm_ucb,1
batch_llm_ucb,0,14,66.0430489700067,batch_llm_ucb,1
batch_llm_ucb,0,15,79.37847648593325,batch_llm_ucb,1
batch_llm_ucb,0,16,56.94593593552668,batch_llm_ucb,0
batch_llm_ucb,0,17,45.40655302377666,batch_llm_ucb,0
batch_llm_ucb,0,18,60.373858862800056,batch_llm_ucb,0
batch_llm_ucb,0,19,34.391770014920034,batch_llm_ucb,0
batch_llm_ucb,0,20,81.30212882910001,batch_llm_ucb,1
batch_llm_ucb,0,21,68.61924713889994,batch_llm_ucb,1
batch_llm_ucb,0,22,73.59342160725663,batch_llm_ucb,1
batch_llm_ucb,0,23,79.21200600416671,batch_llm_ucb,1
batch_llm_ucb,0,24,82.29260491539998,batch_llm_ucb,1
batch_llm_ucb,0,25,22.15956600448665,batch_llm_ucb,1
batch_llm_ucb,0,26,32.30567941650001,bo_fallback_ucb,3
batch_llm_ucb,0,27,35.975468698269985,batch_llm_ucb,2
batch_llm_ucb,0,28,80.36710915366665,batch_llm_ucb,1
batch_llm_ucb,0,29,71.98410966843333,batch_llm_ucb,2
bo_puro,1,0,79.85281197293327,bo_puro,0
bo_puro,1,1,76.75997520016666,bo_puro,0
bo_puro,1,2,80.14773335670326,bo_puro,0
bo_puro,1,3,62.47110970703334,bo_puro,0
bo_puro,1,4,76.76547365961666,bo_puro,0
bo_puro,1,5,78.7120327960433,bo_puro,0
bo_puro,1,6,61.14195384133007,bo_puro,0
bo_puro,1,7,70.20595215200005,bo_puro,0
bo_puro,1,8,80.36457079033337,bo_puro,0
bo_puro,1,9,72.63374685701,bo_puro,0
bo_puro,1,10,82.27627537116669,bo_puro,0
bo_puro,1,11,78.83769051593661,bo_puro,0
bo_puro,1,12,76.62135967916666,bo_puro,0
bo_puro,1,13,80.9946715465033,bo_puro,0
bo_puro,1,14,75.50760885133334,bo_puro,0
bo_puro,1,15,78.56413934292992,bo_puro,0
bo_puro,1,16,74.72524976509999,bo_puro,0
bo_puro,1,17,76.47515656540669,bo_puro,0
bo_puro,1,18,56.56829701766665,bo_puro,0
bo_puro,1,19,79.15444882880665,bo_puro,0
bo_puro,1,20,84.7714032827,bo_puro,0
bo_puro,1,21,81.23037142522989,bo_puro,0
bo_puro,1,22,74.05721270046662,bo_puro,0
bo_puro,1,23,77.51976066950003,bo_puro,0
bo_puro,1,24,69.37620320602669,bo_puro,0
bo_puro,1,25,53.23542469892664,bo_puro,0
bo_puro,1,26,77.91596906102667,bo_puro,0
bo_puro,1,27,85.9413886575668,bo_puro,0
bo_puro,1,28,82.4626961827766,bo_puro,0
bo_puro,1,29,81.94684228366333,bo_puro,0
bo_puro_ucb,1,0,77.40534402873999,bo_puro_ucb,0
bo_puro_ucb,1,1,62.62034498333335,bo_puro_ucb,0
bo_puro_ucb,1,2,56.00424687528002,bo_puro_ucb,0
bo_puro_ucb,1,3,76.39123094107336,bo_puro_ucb,0
bo_puro_ucb,1,4,27.29949967382336,bo_puro_ucb,0
bo_puro_ucb,1,5,81.28111671233327,bo_puro_ucb,0
bo_puro_ucb,1,6,70.1637244500333,bo_puro_ucb,0
bo_puro_ucb,1,7,83.31161131553996,bo_puro_ucb,0
bo_puro_ucb,1,8,76.77860960906666,bo_puro_ucb,0
bo_puro_ucb,1,9,79.41698316746664,bo_puro_ucb,0
bo_puro_ucb,1,10,35.06830435276997,bo_puro_ucb,0
bo_puro_ucb,1,11,73.31711799808342,bo_puro_ucb,0
bo_puro_ucb,1,12,38.14921342269334,bo_puro_ucb,0
bo_puro_ucb,1,13,71.5292934247333,bo_puro_ucb,0
bo_puro_ucb,1,14,66.85060727356,bo_puro_ucb,0
bo_puro_ucb,1,15,70.04844369406679,bo_puro_ucb,0
bo_puro_ucb,1,16,76.22815771760337,bo_puro_ucb,0
bo_puro_ucb,1,17,67.88757607716664,bo_puro_ucb,0
bo_puro_ucb,1,18,75.20521546420004,bo_puro_ucb,0
bo_puro_ucb,1,19,73.64666324251998,bo_puro_ucb,0
bo_puro_ucb,1,20,81.27775945003664,bo_puro_ucb,0
bo_puro_ucb,1,21,66.12118886340004,bo_puro_ucb,0
bo_puro_ucb,1,22,52.624086363106656,bo_puro_ucb,0
bo_puro_ucb,1,23,74.08788606042663,bo_puro_ucb,0
bo_puro_ucb,1,24,82.66793576239996,bo_puro_ucb,0
bo_puro_ucb,1,25,70.6795669567399,bo_puro_ucb,0
bo_puro_ucb,1,26,77.83514513620004,bo_puro_ucb,0
bo_puro_ucb,1,27,81.06806489396995,bo_puro_ucb,0
bo_puro_ucb,1,28,51.5087383572534,bo_puro_ucb,0
bo_puro_ucb,1,29,82.61841517113659,bo_puro_ucb,0
multiagente,1,0,79.85281197293327,multiagent,0
multiagente,1,1,78.35829035043332,multiagent,0
multiagente,1,2,70.24740991472667,multiagent,0
multiagente,1,3,79.09718569070662,multiagent,0
multiagente,1,4,3.868313540946668,multiagent,0
multiagente,1,5,72.75315089732001,multiagent,0
multiagente,1,6,79.05771009280669,multiagent,0
multiagente,1,7,59.85849912429666,multiagent,0
multiagente,1,8,79.76856916996665,multiagent,0
multiagente,1,9,77.17573814530667,multiagent,1
multiagente,1,10,80.37956771056665,multiagent,0
multiagente,1,11,56.654431989006646,multiagent,0
multiagente,1,12,79.37200327393334,multiagent,1
multiagente,1,13,77.62998706629998,multiagent,0
multiagente,1,14,78.50265333993333,multiagent,0
multiagente,1,15,77.95801110656657,multiagent,0
multiagente,1,16,78.51664079246665,multiagent,0
multiagente,1,17,75.05896684734667,multiagent,1
multiagente,1,18,39.81008575935669,multiagent,0
multiagente,1,19,80.77552770771325,multiagent,0
multiagente,1,20,78.19627255849664,multiagent,0
